sample_index,ke0
0,1.33950000000000014
1,1.33950000000000014
2,0.39450000000000002
3,0.61050000000000004
4,0.55649999999999999
5,0.39450000000000002
6,1.52850000000000019
7,0.46200000000000002
8,1.52850000000000019
9,0.55649999999999999
10,0.46200000000000002
11,0.46200000000000002
12,0.55649999999999999
13,0.44850000000000001
14,1.33950000000000014
15,1.52850000000000019
16,0.39450000000000002
17,0.55649999999999999
18,0.46200000000000002
19,0.46200000000000002
20,0.55649999999999999
21,1.40700000000000003
22,1.42050000000000010
23,0.46200000000000002
24,1.33950000000000014
25,1.42050000000000010
26,1.52850000000000019
27,1.42050000000000010
28,1.78500000000000014
29,1.33950000000000014
30,1.70400000000000018
31,0.46200000000000002
32,0.39450000000000002
33,0.39450000000000002
34,1.42050000000000010
35,1.42050000000000010
36,1.33950000000000014
37,1.52850000000000019
38,1.52850000000000019
39,1.52850000000000019
40,0.46200000000000002
41,0.46200000000000002
42,0.51600000000000001
43,0.46200000000000002
44,0.61050000000000004
45,0.46200000000000002
46,0.51600000000000001
47,0.55649999999999999
48,0.46200000000000002
49,1.52850000000000019
50,1.52850000000000019
51,0.46200000000000002
52,0.46200000000000002
53,0.39450000000000002
54,1.42050000000000010
55,1.42050000000000010
56,1.78500000000000014
57,1.42050000000000010
58,0.44850000000000001
59,1.42050000000000010
60,1.52850000000000019
61,1.42050000000000010
62,1.33950000000000014
63,1.52850000000000019
64,1.33950000000000014
65,1.42050000000000010
66,0.46200000000000002
67,0.46200000000000002
68,1.33950000000000014
69,1.52850000000000019
70,0.39450000000000002
71,0.51600000000000001
72,0.46200000000000002
73,1.33950000000000014
74,0.61050000000000004
75,1.52850000000000019
76,0.44850000000000001
77,1.42050000000000010
78,1.78500000000000014
79,0.51600000000000001
80,0.46200000000000002
81,0.51600000000000001
82,0.61050000000000004
83,0.51600000000000001
84,1.33950000000000014
85,0.39450000000000002
86,0.46200000000000002
87,0.46200000000000002
88,1.52850000000000019
89,1.52850000000000019
90,0.39450000000000002
91,0.50249999999999995
92,0.51600000000000001
93,0.51600000000000001
94,0.55649999999999999
95,0.44850000000000001
96,0.55649999999999999
97,1.52850000000000019
98,0.51600000000000001
99,1.70400000000000018
