ke0,weight
0.39450000000000002,0.07356659014881670
0.44850000000000001,0.04203427419335793
0.46200000000000002,0.19781465538283882
0.50249999999999995,0.03891651154045024
0.51600000000000001,0.06826694993490365
0.55649999999999999,0.08661051783140217
0.57000000000000006,0.00588342000829290
0.61050000000000004,0.07690708095425872
1.33950000000000014,0.11558362194876498
1.40700000000000003,0.04029114081896789
1.42050000000000010,0.08161646154958303
1.52850000000000019,0.10296805111812937
1.69050000000000011,0.00000017542286773
1.70400000000000018,0.04517127503812583
1.77150000000000007,0.00000034467580110
1.78500000000000014,0.02436892942776001
